DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601071600 999.9 999 003.4 258 +0075.3 +09999.99 +09999.9 +09999.9 +0000.00
0601071700 999.9 999 003.3 288 +0058.7 +09999.99 +09999.9 +09999.9 +0000.00
0601071800 999.9 999 001.2 141 +0091.5 +09999.99 +09999.9 +09999.9 +0000.00
0601071900 999.9 999 001.7 124 +0081.7 +09999.99 +09999.9 +09999.9 +0000.00
0601072000 999.9 999 001.6 354 +0084.7 +09999.99 +09999.9 +09999.9 +0000.00
0601072100 999.9 999 002.4 312 +0067.2 +09999.99 +09999.9 +09999.9 +0000.00
0601072200 999.9 999 001.3 007 +0096.8 +09999.99 +09999.9 +09999.9 +0000.00
0601072300 999.9 999 001.7 127 +0021.4 +09999.99 +09999.9 +09999.9 +0000.00
0601072400 999.9 999 000.8 088 +0070.5 +09999.99 +09999.9 +09999.9 +0000.00
0601080100 999.9 999 001.1 115 +0044.9 +09999.99 +09999.9 +09999.9 +0000.00
0601080200 999.9 999 001.0 133 +0059.3 +09999.99 +09999.9 +09999.9 +0000.00
0601080300 999.9 999 001.6 147 +0018.1 +09999.99 +09999.9 +09999.9 +0000.00
0601080400 999.9 999 002.3 147 +0022.2 +09999.99 +09999.9 +09999.9 +0000.00
0601080500 999.9 999 001.8 152 +0017.4 +09999.99 +09999.9 +09999.9 +0000.00
0601080600 999.9 999 001.4 159 +0016.3 +09999.99 +09999.9 +09999.9 +0000.00
0601080700 999.9 999 001.3 159 +0019.9 +09999.99 +09999.9 +09999.9 +0000.00
0601080800 999.9 999 001.3 166 +0043.0 +09999.99 +09999.9 +09999.9 +0000.00
0601080900 999.9 999 001.7 152 +0015.6 +09999.99 +09999.9 +09999.9 +0000.00
0601081000 999.9 999 001.6 134 +0025.0 +09999.99 +09999.9 +09999.9 +0000.00
0601081100 999.9 999 002.6 104 +0061.4 +09999.99 +09999.9 +09999.9 +0000.00
0601081200 999.9 999 003.6 147 +0052.8 +09999.99 +09999.9 +09999.9 +0000.00
0601081300 999.9 999 004.6 155 +0051.1 +09999.99 +09999.9 +09999.9 +0000.00
0601081400 999.9 999 004.7 162 +0056.1 +09999.99 +09999.9 +09999.9 +0000.00
0601081500 999.9 999 005.3 162 +0043.9 +09999.99 +09999.9 +09999.9 +0000.00
0601081600 999.9 999 004.9 158 +0040.5 +09999.99 +09999.9 +09999.9 +0000.00
0601081700 999.9 999 002.4 174 +0070.4 +09999.99 +09999.9 +09999.9 +0000.00
0601081800 999.9 999 001.0 152 +0049.2 +09999.99 +09999.9 +09999.9 +0000.00
0601081900 999.9 999 001.0 137 +0035.0 +09999.99 +09999.9 +09999.9 +0000.00
0601082000 999.9 999 001.3 119 +0057.3 +09999.99 +09999.9 +09999.9 +0000.00
0601082100 999.9 999 001.2 139 +0039.7 +09999.99 +09999.9 +09999.9 +0000.00
0601082200 999.9 999 001.4 140 +0018.8 +09999.99 +09999.9 +09999.9 +0000.00
